ePortRxDataGroup_0, ePortRxDataGroup_1, ePortRxDataGroup_2, ePortRxDataGroup_3, ePortRxDataGroup_4, ePortRxDataGroup_5, ePortRxDataGroup_6, ePortRxDataGroup_7, ePortRxDataGroup_8, ePortRxDataGroup_9, ePortRxDataGroup_10, ePortRxDataGroup_11
3609, 56623134, 0, 3584, 61259808, 0, 67108896, 78266393, 0, 4121, 5888, 4378
442368, 69209728, 0, 52428800, 0, 576640, 0, 32, 54935576, 491560, 0, 524288
77987840, 71303168, 65421312, 0, 67108892, 75497472, 0, 30, 52936704, 3328, 100663296, 737280
85991424, 3840, 0, 79691804, 26, 55234594, 445952, 65016064, 594048, 409600, 32, 4864
60817408, 52432920, 40, 0, 54529280, 0, 0, 4265, 0, 3610, 57183360, 55083035
442368, 50741248, 4386, 24, 33, 0, 0, 75910272, 52428800, 0, 0, 71303200
3456, 58720256, 27, 4480, 0, 0, 3840, 28, 69206016, 0, 79696283, 3328
69206016, 3200, 65486848, 0, 78254884, 57081856, 0, 0, 32, 61246899, 88085017, 67851549
0, 0, 58720256, 524288, 4352, 105349146, 71811072, 54525952, 69206016, 462363, 557092, 655387
25, 3480, 65011741, 79695262, 67704064, 71303168, 52854809, 3840, 27, 0, 3584, 3328
50331648, 69206016, 0, 52907008, 65011712, 0, 25, 50331683, 0, 67654784, 442394, 0
1051648, 52428800, 0, 0, 88083748, 458752, 52428800, 442368, 37, 65474339, 0, 40
0, 0, 54529920, 3200, 27, 57278464, 41, 33, 50744320, 0, 4123, 67113505
430108, 0, 495872, 3456, 0, 59232675, 90755228, 61227033, 62914560, 0, 35, 0
0, 53039360, 75956224, 63393059, 85983232, 3328, 67108891, 0, 430080, 36, 77594650, 46
0, 3840, 393216, 0, 60821376, 79691776, 589824, 0, 0, 0, 52433024, 26
5655, 409600, 0, 3101, 100668445, 0, 0, 0, 62914560, 71307520, 57147392, 65015975
606208, 475136, 3840, 3328, 448512, 67665963, 54529819, 30, 475136, 50335232, 54525980, 96469019
0, 3584, 0, 3104, 446592, 56626853, 496128, 69763072, 0, 61246848, 50331648, 109055257
65568799, 0, 409600, 0, 78187681, 81788957, 442395, 4096, 425984, 67113762, 52432436, 90787491
442368, 52428825, 0, 0, 94834304, 0, 425984, 27, 57081856, 3369, 31, 75501952
409623, 0, 26, 60817408, 458752, 65011712, 0, 540672, 495104, 0, 0, 4096
61374464, 0, 0, 4096, 58720256, 69209600, 0, 412800, 0, 0, 491520, 34
33, 59146240, 0, 0, 56623104, 115343360, 62914560, 409600, 0, 0, 446464, 0
5376, 0, 25, 0, 0, 27, 71306624, 4480, 0, 0, 30, 442368
69615616, 0, 25, 0, 0, 0, 28, 56626202, 34, 527744, 4256, 0
0, 22, 79695779, 67108896, 69209600, 491546, 69210264, 39, 4352, 26, 5658, 75497508
23, 0, 0, 56623104, 0, 71303168, 52428800, 3621, 0, 0, 75890688, 0
65470464, 458752, 78056576, 0, 478464, 409600, 446627, 67539968, 0, 3494, 71843840, 95046912
704512, 3200, 29, 58720256, 54525952, 3712, 3229, 610816, 51003392, 3968, 409632, 691620
0, 0, 34, 57283486, 26, 34, 0, 61361792, 6912, 26, 425984, 446592
0, 3072, 463104, 50331648, 425984, 67112320, 53166080, 3629, 75497472, 0, 0, 56626944
3968, 3072, 0, 3072, 0, 606208, 33, 0, 0, 429312, 557056, 39
0, 429440, 0, 57131008, 73400320, 71860269, 0, 25, 57147429, 69632000, 60817408, 54525981
0, 0, 524288, 50331648, 58720256, 0, 92281344, 58720291, 50806784, 3456, 409600, 83886112
88084763, 0, 29, 26, 79695518, 544768, 557056, 58723490, 30, 3584, 84350107, 540711
97026048, 0, 463641, 62914560, 29, 3840, 3873, 593536, 54525952, 42, 57170459, 78266368
57049088, 0, 50337664, 0, 425984, 0, 54525984, 0, 73813888, 69209243, 442368, 52890912
57196575, 0, 71308288, 69779456, 113741312, 61394048, 0, 4352, 50331648, 0, 25, 560256
0, 0, 44, 52428800, 0, 71303168, 0, 52428827, 25, 52428800, 524288, 0
412960, 524320, 65011748, 0, 37, 92274688, 85983232, 65622562, 54972577, 54526001, 84512046, 495360
54530176, 655360, 462880, 59133440, 524288, 78057728, 65011745, 72155170, 393249, 71303168, 0, 6400
462208, 445440, 0, 0, 0, 65523360, 0, 27, 671744, 43, 0, 61243392
0, 71303168, 52432153, 442368, 52891776, 29, 67113763, 0, 0, 511396, 43, 63459872
393216, 0, 55004928, 638976, 80166952, 0, 67698688, 0, 0, 60821888, 3362, 4638
691712, 4126, 30, 92274731, 0, 60817441, 0, 0, 512128, 74088448, 26, 475136
396928, 58723328, 0, 3233, 0, 0, 425984, 50331686, 76087296, 0, 40, 83889536
